OPP,Result,T Score,LAST_N_3PTM,LAST_N_PTS,SEASON_AVG,PTS
ATL,1,101,3.2222222222222223,25.333333333333332,24.30188679245283,22
MIA,1,123,2.6666666666666665,24.11111111111111,24.25925925925926,36
ORL,1,94,3.2222222222222223,25.444444444444443,24.472727272727273,9
CLE,1,108,3.111111111111111,23.333333333333332,24.196428571428573,29
PHX,1,115,3.0,22.444444444444443,24.280701754385966,14
LAC,1,105,2.6666666666666665,21.333333333333332,24.103448275862068,15
DEN,1,89,2.5555555555555554,20.88888888888889,23.949152542372882,14
LAL,1,102,2.5555555555555554,18.666666666666668,23.783333333333335,18
SAS,0,102,2.7777777777777777,19.0,23.688524590163933,30
NOP,1,104,3.3333333333333335,20.77777777777778,23.79032258064516,28
PHX,0,102,3.4444444444444446,21.444444444444443,23.857142857142858,30
HOU,0,112,3.0,20.77777777777778,23.953125,20
DAL,1,95,3.0,22.0,23.892307692307693,33
CHA,0,111,3.111111111111111,22.444444444444443,24.03030303030303,43
MEM,1,108,3.5555555555555554,25.666666666666668,24.313432835820894,22
HOU,0,83,3.5555555555555554,26.444444444444443,24.279411764705884,22
TOR,1,112,3.4444444444444446,27.333333333333332,24.246376811594203,27
SAC,1,115,3.3333333333333335,28.333333333333332,24.285714285714285,36
OKC,0,112,3.2222222222222223,29.0,24.450704225352112,32
DAL,0,99,3.4444444444444446,29.444444444444443,24.555555555555557,29
NOP,1,102,3.6666666666666665,29.333333333333332,24.616438356164384,16
POR,0,101,3.7777777777777777,28.88888888888889,24.5,22
UTA,1,98,3.3333333333333335,27.666666666666668,24.466666666666665,22
UTA,1,102,3.2222222222222223,25.333333333333332,24.43421052631579,15
OKC,1,116,3.0,24.555555555555557,24.31168831168831,22
DET,1,113,3.3333333333333335,24.555555555555557,24.28205128205128,25
MEM,0,90,3.2222222222222223,24.333333333333332,24.29113924050633,22
MIN,1,106,3.111111111111111,22.77777777777778,24.2625,5
PHI,1,110,2.6666666666666665,19.77777777777778,24.02469135802469,18
SAC,1,98,2.2222222222222223,18.555555555555557,23.951219512195124,22
LAC,0,115,2.5555555555555554,19.22222222222222,23.927710843373493,38
LAL,1,125,3.3333333333333335,21.0,24.095238095238095,10
CLE,1,104,3.0,25.0,25.0,37
CLE,1,103,5.0,31.0,31.0,22
CLE,0,91,4.666666666666667,28.0,28.0,27
CLE,0,93,5.25,27.75,27.75,19
CLE,1,108,4.6,26.0,26.0,26
HOU,1,104,4.166666666666667,26.0,26.0,26
HOU,0,115,4.0,26.0,26.0,23
HOU,1,115,4.25,25.625,25.625,40
HOU,1,99,4.555555555555555,27.22222222222222,27.22222222222222,33
HOU,1,110,4.777777777777778,28.11111111111111,27.8,34
MEM,1,108,4.666666666666667,27.77777777777778,28.363636363636363,32
MEM,1,98,5.111111111111111,28.88888888888889,28.666666666666668,18
MEM,1,101,5.0,27.88888888888889,27.846153846153847,33
MEM,0,89,5.222222222222222,29.444444444444443,28.214285714285715,23
MEM,0,90,5.222222222222222,29.11111111111111,27.866666666666667,19
MEM,1,101,5.111111111111111,28.333333333333332,27.3125,22
NOP,1,109,4.888888888888889,28.22222222222222,27.0,39
NOP,1,123,4.777777777777778,28.11111111111111,27.666666666666668,40
NOP,1,97,5.0,28.88888888888889,28.31578947368421,22
NOP,1,106,4.666666666666667,27.555555555555557,28.0,34
DEN,1,133,4.222222222222222,27.77777777777778,28.285714285714285,10
MEM,1,111,3.7777777777777777,26.88888888888889,27.454545454545453,15
MIN,1,110,3.6666666666666665,24.88888888888889,26.91304347826087,34
POR,1,116,4.0,26.11111111111111,27.208333333333332,45
NOP,0,100,4.666666666666667,29.0,27.92,25
SAS,0,92,4.777777777777778,29.333333333333332,27.807692307692307,24
DAL,1,123,4.666666666666667,27.666666666666668,27.666666666666668,11
PHX,1,107,4.0,24.444444444444443,27.071428571428573,28
LAC,1,110,4.333333333333333,25.11111111111111,27.103448275862068,27
MIL,1,108,4.333333333333333,24.333333333333332,27.1,25
MEM,1,107,4.777777777777778,26.0,27.032258064516128,38
POR,1,122,5.333333333333333,28.555555555555557,27.375,33
WSH,1,107,5.333333333333333,28.444444444444443,27.545454545454547,24
UTA,1,106,5.0,26.11111111111111,27.441176470588236,24
NOP,1,112,4.777777777777778,26.0,27.34285714285714,16
ATL,1,114,4.444444444444445,25.11111111111111,27.02777777777778,16
LAL,1,108,4.555555555555555,25.666666666666668,26.72972972972973,19
NYK,1,125,4.111111111111111,24.666666666666668,26.526315789473685,25
DET,1,105,4.333333333333333,24.444444444444443,26.487179487179485,9
PHX,1,98,3.7777777777777777,22.666666666666668,26.05,36
LAC,1,106,3.6666666666666665,22.444444444444443,26.29268292682927,12
DAL,1,104,3.3333333333333335,20.11111111111111,25.952380952380953,22
MIL,1,102,3.3333333333333335,19.88888888888889,25.86046511627907,19
BKN,0,108,3.6666666666666665,19.333333333333332,25.704545454545453,26
BOS,1,106,4.111111111111111,20.444444444444443,25.711111111111112,37
TOR,1,113,4.444444444444445,22.77777777777778,25.956521739130434,22
CLE,0,99,4.555555555555555,23.11111111111111,25.872340425531913,18
WSH,1,114,4.222222222222222,22.333333333333332,25.708333333333332,32
SAS,1,110,4.666666666666667,24.88888888888889,25.836734693877553,25
MIN,1,94,4.333333333333333,23.666666666666668,25.82,25
PHI,1,89,4.333333333333333,25.11111111111111,25.80392156862745,20
NYK,1,106,4.111111111111111,24.88888888888889,25.692307692307693,22
ATL,0,116,4.0,25.22222222222222,25.62264150943396,26
DAL,1,128,3.7777777777777777,25.22222222222222,25.62962962962963,51
SAC,1,121,4.333333333333333,26.77777777777778,26.09090909090909,23
PHX,1,106,4.222222222222222,26.88888888888889,26.035714285714285,25
UTA,0,100,4.333333333333333,27.666666666666668,26.017543859649123,32
CHI,0,111,4.333333333333333,27.666666666666668,26.120689655172413,21
BOS,1,114,4.111111111111111,27.22222222222222,26.033898305084747,22
SAC,1,126,4.0,26.88888888888889,25.966666666666665,10
HOU,1,126,3.888888888888889,25.77777777777778,25.704918032786885,22
DEN,1,122,3.6666666666666665,25.77777777777778,25.64516129032258,20
